source_id,scenario,month,tas_c
GFDL-CM4,historical,1,1.3258254540998564
GFDL-CM4,historical,2,3.131480179345317
GFDL-CM4,historical,3,4.456043587021497
GFDL-CM4,historical,4,7.393677492178199
GFDL-CM4,historical,5,10.421236342100826
GFDL-CM4,historical,6,14.448883580805784
GFDL-CM4,historical,7,18.612862448979058
GFDL-CM4,historical,8,19.510869929679984
GFDL-CM4,historical,9,16.44264397863384
GFDL-CM4,historical,10,10.375565394616615
GFDL-CM4,historical,11,3.4897054551893234
GFDL-CM4,historical,12,1.6572840116864995
GFDL-ESM4,historical,1,1.4407449524665594
GFDL-ESM4,historical,2,3.4550538878480666
GFDL-ESM4,historical,3,4.873078737432195
GFDL-ESM4,historical,4,6.886321417814202
GFDL-ESM4,historical,5,10.156690631728281
GFDL-ESM4,historical,6,15.079164755578233
GFDL-ESM4,historical,7,19.353893771585547
GFDL-ESM4,historical,8,20.647069302095474
GFDL-ESM4,historical,9,17.76038181133424
GFDL-ESM4,historical,10,11.51835739350264
GFDL-ESM4,historical,11,4.663672904578732
GFDL-ESM4,historical,12,1.262880004852434
GFDL-CM4,ssp245,1,4.005283840856521
GFDL-CM4,ssp245,2,5.493148499534982
GFDL-CM4,ssp245,3,6.854111127751196
GFDL-CM4,ssp245,4,9.356022200309326
GFDL-CM4,ssp245,5,13.530509361354348
GFDL-CM4,ssp245,6,17.97487937880976
GFDL-CM4,ssp245,7,22.5030179366143
GFDL-CM4,ssp245,8,23.383404472843438
GFDL-CM4,ssp245,9,20.894940800345637
GFDL-CM4,ssp245,10,14.842668936560244
GFDL-CM4,ssp245,11,7.531321839382201
GFDL-CM4,ssp245,12,4.112106578376199
GFDL-ESM4,ssp245,1,3.6270871905019817
GFDL-ESM4,ssp245,2,4.822790510468451
GFDL-ESM4,ssp245,3,6.107750574692886
GFDL-ESM4,ssp245,4,8.097213065042354
GFDL-ESM4,ssp245,5,13.455602436356514
GFDL-ESM4,ssp245,6,17.549140802388422
GFDL-ESM4,ssp245,7,21.99545181086313
GFDL-ESM4,ssp245,8,22.995815388486506
GFDL-ESM4,ssp245,9,20.59802093600905
GFDL-ESM4,ssp245,10,15.061135529452372
GFDL-ESM4,ssp245,11,7.081387137873662
GFDL-ESM4,ssp245,12,4.068324493484511
GFDL-CM4,ssp585,1,5.7888206711418775
GFDL-CM4,ssp585,2,7.035047283006747
GFDL-CM4,ssp585,3,8.287808917460609
GFDL-CM4,ssp585,4,11.173638996619673
GFDL-CM4,ssp585,5,15.062114118523198
GFDL-CM4,ssp585,6,20.340604761565316
GFDL-CM4,ssp585,7,24.63851275896519
GFDL-CM4,ssp585,8,25.697751888606376
GFDL-CM4,ssp585,9,23.376086727224106
GFDL-CM4,ssp585,10,17.965398077541295
GFDL-CM4,ssp585,11,9.15907813269456
GFDL-CM4,ssp585,12,5.209338265545853
GFDL-ESM4,ssp585,1,5.081338284523611
GFDL-ESM4,ssp585,2,5.580694903450876
GFDL-ESM4,ssp585,3,6.804551019875873
GFDL-ESM4,ssp585,4,9.983167742419653
GFDL-ESM4,ssp585,5,14.580583123049507
GFDL-ESM4,ssp585,6,19.56456853093698
GFDL-ESM4,ssp585,7,23.05906505575018
GFDL-ESM4,ssp585,8,24.660677390684896
GFDL-ESM4,ssp585,9,22.318577090280712
GFDL-ESM4,ssp585,10,16.961483909753895
GFDL-ESM4,ssp585,11,9.186336997363867
GFDL-ESM4,ssp585,12,5.126999399533986
